Title,Artist,Genres,Year,Album,Popularity,Mood,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
The Weekend - Funk Wav Remix,"SZA, Calvin Harris, Funk Wav","rap, pop, progressive house, dance pop, electro house, pop dance, funktronica, house, uk dance, r&b, edm",2017,The Weekend (Funk Wav Remix),72,Happy,0.775,0.573,11,-4.933,1,0.0585,0.495,0,0.126,0.667,101.925,audio_features,0P6AWOA4LG1XOctzaVu5tt,spotify:track:0P6AWOA4LG1XOctzaVu5tt,https://api.spotify.com/v1/tracks/0P6AWOA4LG1XOctzaVu5tt,https://api.spotify.com/v1/audio-analysis/0P6AWOA4LG1XOctzaVu5tt,171806,4
The Spins,"Mac Miller, Empire Of The Sun","neo-synthpop, rap, australian electropop, australian dance, pittsburgh rap, hip hop, indietronica, dance rock",2010,K.I.D.S. (Deluxe),84,Happy,0.794,0.766,9,-3.894,0,0.0377,0.0135,0,0.0785,0.55,127.006,audio_features,7FAFkQQZFeNwOFzTrSDFIh,spotify:track:7FAFkQQZFeNwOFzTrSDFIh,https://api.spotify.com/v1/tracks/7FAFkQQZFeNwOFzTrSDFIh,https://api.spotify.com/v1/audio-analysis/7FAFkQQZFeNwOFzTrSDFIh,195873,4
Hell N Back (feat. Summer Walker),"Bakar, Summer Walker","r&b, rap, uk alternative hip hop",2023,Hell N Back (feat. Summer Walker),82,Happy,0.64,0.673,5,-4.519,0,0.563,0.288,2.15E-06,0.113,0.736,209.942,audio_features,0ZDwhNFZnPx9EIPCcwGUHC,spotify:track:0ZDwhNFZnPx9EIPCcwGUHC,https://api.spotify.com/v1/tracks/0ZDwhNFZnPx9EIPCcwGUHC,https://api.spotify.com/v1/audio-analysis/0ZDwhNFZnPx9EIPCcwGUHC,195147,4
Come and Get Your Love - Single Version,Redbone,"native american contemporary, native american traditional",1973,Come and Get Your Love,81,Happy,0.731,0.804,11,-7.621,0,0.0473,0.172,0.00028,0.0685,0.957,107.383,audio_features,7GVUmCP00eSsqc4tzj1sDD,spotify:track:7GVUmCP00eSsqc4tzj1sDD,https://api.spotify.com/v1/tracks/7GVUmCP00eSsqc4tzj1sDD,https://api.spotify.com/v1/audio-analysis/7GVUmCP00eSsqc4tzj1sDD,205933,4
Back On 74,Jungle,"uk contemporary r&b, indie soul",2023,Volcano,86,Happy,0.62,0.761,10,-7.282,0,0.175,0.207,0.000147,0.269,0.194,146.003,audio_features,19kHhX6f6EfLU7rcO3RqjO,spotify:track:19kHhX6f6EfLU7rcO3RqjO,https://api.spotify.com/v1/tracks/19kHhX6f6EfLU7rcO3RqjO,https://api.spotify.com/v1/audio-analysis/19kHhX6f6EfLU7rcO3RqjO,209483,4
A Bar Song (Tipsy),Shaboozey,pop rap,2024,A Bar Song (Tipsy),93,Happy,0.722,0.709,9,-4.95,1,0.0273,0.0633,0,0.0804,0.604,81.012,audio_features,2FQrifJ1N335Ljm3TjTVVf,spotify:track:2FQrifJ1N335Ljm3TjTVVf,https://api.spotify.com/v1/tracks/2FQrifJ1N335Ljm3TjTVVf,https://api.spotify.com/v1/audio-analysis/2FQrifJ1N335Ljm3TjTVVf,171292,4
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris, Pharrell Williams, Katy Perry, Big Sean, Funk Wav","rap, progressive house, dance pop, electro house, pop dance, trap, hip hop, funktronica, house, pop rap, uk dance, edm, southern hip hop, r&b, detroit hip hop, pop",2017,Funk Wav Bounces Vol.1,75,Happy,0.893,0.745,11,-3.105,0,0.0571,0.0642,0,0.0943,0.872,101.018,audio_features,5bcTCxgc7xVfSaMV3RuVke,spotify:track:5bcTCxgc7xVfSaMV3RuVke,https://api.spotify.com/v1/tracks/5bcTCxgc7xVfSaMV3RuVke,https://api.spotify.com/v1/audio-analysis/5bcTCxgc7xVfSaMV3RuVke,223413,4
Toro,Remi Wolf,"modern alternative pop, indie pop",2024,Toro / Alone in Miami,29,Happy,0.676,0.681,1,-4.444,1,0.064,0.0161,2.34E-06,0.0671,0.944,108.888,audio_features,62QValXcWLH5RSnZRFeKKl,spotify:track:62QValXcWLH5RSnZRFeKKl,https://api.spotify.com/v1/tracks/62QValXcWLH5RSnZRFeKKl,https://api.spotify.com/v1/audio-analysis/62QValXcWLH5RSnZRFeKKl,175667,4
End Of An Era,Dua Lipa,"uk pop, dance pop, pop",2024,Radical Optimism,78,Happy,0.661,0.818,0,-5.814,1,0.0557,0.116,0,0.166,0.772,117.045,audio_features,1YrY0vjHWp672gt0crtj5A,spotify:track:1YrY0vjHWp672gt0crtj5A,https://api.spotify.com/v1/tracks/1YrY0vjHWp672gt0crtj5A,https://api.spotify.com/v1/audio-analysis/1YrY0vjHWp672gt0crtj5A,196219,4
Pink + White,Frank Ocean,"neo soul, lgbtq+ hip hop",2016,Blonde,89,Happy,0.545,0.545,9,-7.362,1,0.107,0.667,5.48E-05,0.417,0.549,159.94,audio_features,3xKsf9qdS1CyvXSMEid6g8,spotify:track:3xKsf9qdS1CyvXSMEid6g8,https://api.spotify.com/v1/tracks/3xKsf9qdS1CyvXSMEid6g8,https://api.spotify.com/v1/audio-analysis/3xKsf9qdS1CyvXSMEid6g8,184516,3
Espresso,Sabrina Carpenter,pop,2024,Espresso,98,Happy,0.701,0.76,0,-5.478,1,0.0285,0.107,6.54E-05,0.185,0.69,103.969,audio_features,2qSkIjg1o9h3YT9RAgYN75,spotify:track:2qSkIjg1o9h3YT9RAgYN75,https://api.spotify.com/v1/tracks/2qSkIjg1o9h3YT9RAgYN75,https://api.spotify.com/v1/audio-analysis/2qSkIjg1o9h3YT9RAgYN75,175459,4
Love from the Other Side,L'Impératrice,"french indietronica, french synthpop, french indie pop",2024,Love from the Other Side,60,Happy,0.81,0.481,9,-8.914,0,0.0342,0.492,0.0696,0.124,0.561,114.995,audio_features,49uLH3xvQLd4I4pCQacGH8,spotify:track:49uLH3xvQLd4I4pCQacGH8,https://api.spotify.com/v1/tracks/49uLH3xvQLd4I4pCQacGH8,https://api.spotify.com/v1/audio-analysis/49uLH3xvQLd4I4pCQacGH8,249406,4
